"","total_vaccinated","people_vaccinated","people_fully_vaccinated","maTotal","maPeople_vaccinated","maPeople_fully_vaccinated","date"
"298",11862,5196,6666,21519.1428571429,7557.28571428571,13961.8571428571,2022-02-06
"299",10429,3658,6771,21519.1428571429,7557.28571428571,13961.8571428571,2022-02-07
"300",14684,5809,8875,23062,8062.57142857143,14999.4285714286,2022-02-08
"301",24373,10371,14002,16698.4285714286,6196.85714285714,10501.5714285714,2022-02-09
"302",0,0,0,15003.8571428571,5454.57142857143,9549.28571428571,2022-02-10
"303",41443,13514,27929,13945.8571428571,5084,8861.85714285714,2022-02-11
"304",14098,4830,9268,13545.4285714286,4944.57142857143,8600.85714285714,2022-02-12
"305",0,0,0,10063.5714285714,3463,6600.57142857143,2022-02-13
"306",3023,1064,1959,10063.5714285714,3463,6600.57142857143,2022-02-14
"307",11881,4833,7048,4143.14285714286,1532.42857142857,2610.71428571429,2022-02-15
"308",0,0,0,7222.71428571429,2699,4523.71428571429,2022-02-16
"309",0,0,0,7222.71428571429,2699,4523.71428571429,2022-02-17
"310",0,0,0,7702.28571428571,2934.71428571429,4767.57142857143,2022-02-18
"311",35655,12996,22659,6570.14285714286,2421.14285714286,4149,2022-02-19
"312",0,0,0,7664.28571428571,2724.85714285714,4939.42857142857,2022-02-20
"313",6380,2714,3666,8828,3056.42857142857,5771.57142857143,2022-02-21
"314",3956,1238,2718,11220.5714285714,4299.85714285714,6920.71428571429,2022-02-22
"315",7659,2126,5533,6127,2443.28571428571,3683.71428571429,2022-02-23
"316",8146,2321,5825,9834.14285714286,5183.57142857143,4650.57142857143,2022-02-24
"317",16748,8704,8044,14764,9930.42857142857,4833.57142857143,2022-02-25
"318",0,0,0,19345.1428571429,12893.8571428571,6451.28571428571,2022-02-26
"319",25950,19182,6768,24113.8571428571,17132.7142857143,6981.14285714286,2022-02-27
"320",40889,35942,4947,22950.1428571429,16801.1428571429,6149,2022-02-28
"321",36024,21982,14042,20557.5714285714,15557.7142857143,4999.85714285714,2022-03-01
